,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
Train_1,13,10,9,10,10,8,7,6,3,3,5,5,5,5,6,7,7,7,8,7,7,9,9,9,9,11,9,10,11,11,11,10
Train_2,52,43,42,44,41,41,40,37,33,32,32,25,26,26,27,31,32,32,35,32,32,34,35,44,43,43,47,57,57,58,60,56
Train_3,85,86,84,91,84,81,79,83,81,87,90,106,110,113,113,125,124,134,146,145,153,153,155,152,157,149,151,136,135,134,144,144
Train_4,10,7,7,8,9,8,8,10,10,11,12,15,14,15,15,18,18,17,20,20,20,20,20,20,20,19,21,20,20,19,22,21
Train_5,8,8,8,7,5,5,5,13,12,13,14,19,18,18,18,22,23,23,23,22,22,23,24,17,18,17,16,10,10,10,11,9
Test_1,1,1,1,0,0,0,4,4,4,4,1,2,2,2,2,1,1,3,2,2,2,2,4,5,6,4,3,2,3,3,2,2
Test_2,8,8,10,7,7,9,8,6,7,6,4,10,10,9,13,9,8,10,10,19,18,18,20,19,21,21,17,9,15,13,10,8
Test_3,16,17,20,27,27,34,35,47,52,44,43,30,29,39,48,41,45,36,29,34,31,30,31,31,30,29,36,38,39,37,21,6
Test_4,4,3,3,3,2,3,4,6,6,6,6,5,6,5,7,6,6,6,3,3,2,2,5,6,6,6,7,6,7,7,3,1
Test_5,1,1,2,9,9,10,10,8,8,7,6,4,5,5,5,1,0,1,3,4,5,4,2,1,0,0,1,3,5,5,4,2
